,state,category,cat_median,cat_25,cat_75,cat_max,cat_min,state_median,state_25,state_75,state_max,state_min,state_cat_median,state_cat_25,state_cat_75,state_cat_max,state_cat_min
275770,NC,Vegetarian,3.828877005347594,3.46875,4.235294117647059,5.0,1.75,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.9827833572453373,3.7984767891682787,4.247740963855422,4.833333333333333,1.75
276733,NC,Vietnamese,3.625,3.2,4.0,5.0,1.6111111111111112,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.9375,3.707798165137615,4.184397163120567,4.666666666666667,2.6
276943,NC,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.4642857142857144,3.0,3.9444444444444446,5.0,1.0
277602,NC,Sandwiches,3.5,2.8333333333333335,4.0,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.5,2.75,4.0,5.0,1.0
278026,NC,Delis,3.6,3.181235431235431,4.150961538461539,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.6666666666666665,3.2355769230769234,4.0234375,4.833333333333333,2.6
279042,NC,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.396969696969697,3.0450268817204305,3.671146953405018,5.0,2.3703703703703702
279795,NC,Sushi Bars,3.6,3.082482993197279,4.0,5.0,1.3333333333333333,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.4285714285714284,3.089015151515152,3.822368421052632,4.642857142857143,1.5714285714285714
281593,NC,Korean,3.6049382716049383,3.2133090694471766,4.0,5.0,1.5384615384615385,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.7310606060606064,3.327470588235294,4.005417713567839,4.251798561151079,2.6666666666666665
281756,NC,French,3.955548274355614,3.4,4.3206962025316455,5.0,1.3333333333333333,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.9276762350719103,3.398706896551724,4.479330708661418,4.548387096774194,2.3333333333333335
282197,NC,Mediterranean,3.771712158808933,3.272727272727273,4.156826523712933,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.697674418604651,3.2941176470588234,4.17741935483871,5.0,2.4545454545454546
284084,IL,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.3214285714285716,2.763157894736842,3.75,5.0,1.0,3.5,2.89769820971867,3.8440409683426444,5.0,1.2
285422,IL,Barbeque,3.55,3.013157894736842,4.0,5.0,1.0,3.3214285714285716,2.763157894736842,3.75,5.0,1.0,3.681519699812383,3.241545893719807,4.386529242569511,4.853658536585366,2.5384615384615383
286380,NC,Desserts,3.75,3.1666666666666665,4.173913043478261,5.0,1.7647058823529411,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.6530612244897958,3.127309236947791,4.21875,4.681818181818182,1.7647058823529411
287294,NC,Japanese,3.546511627906977,3.1164936096858042,4.0,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.5441176470588234,3.0588235294117645,3.8666666666666667,5.0,1.1
288859,NC,Soup,3.6290424857324033,3.1083146905294554,4.038641652948856,5.0,1.3333333333333333,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.4204545454545454,2.810810810810811,3.6265060240963853,4.416666666666667,2.5185185185185186
289886,OH,Mediterranean,3.771712158808933,3.272727272727273,4.156826523712933,5.0,1.0,3.462121212121212,2.8,4.0,5.0,1.0,4.174693161893629,3.578962703962704,4.3961538461538465,4.848484848484849,2.3333333333333335
289993,OH,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.462121212121212,2.8,4.0,5.0,1.0,3.36,2.811688311688312,3.8297872340425534,5.0,1.631578947368421
